current_time,sleeping,switching_on,switching_off,idle,computing,unavailable
16474,0,0,0,0,16,0
16528,0,0,0,1,15,0
16623,0,0,0,1,15,0
16624,0,0,0,0,16,0
16679,0,0,0,1,15,0
16774,0,0,0,2,14,0
16775,0,0,0,2,14,0
16826,0,0,0,0,16,0
16924,0,0,0,0,16,0
16925,0,0,0,4,12,0
16976,0,0,0,2,14,0
16981,0,0,0,2,14,0
17073,0,0,0,2,14,0
17125,0,0,0,2,14,0
17134,0,0,0,0,16,0
17222,0,0,0,1,15,0
17278,0,0,0,0,16,0
17281,0,0,0,1,15,0
17373,0,0,0,0,16,0
17431,0,0,0,1,15,0
17521,0,0,0,0,16,0
17576,0,0,0,0,16,0
17579,0,0,0,0,16,0
17671,0,0,0,1,15,0
17726,0,0,0,0,16,0
17730,0,0,0,0,16,0
17821,0,0,0,0,16,0
17876,0,0,0,0,16,0
17881,0,0,0,0,16,0
17973,0,0,0,1,15,0
18030,0,0,0,0,16,0
18032,0,0,0,1,15,0
18121,0,0,0,0,16,0
18179,0,0,0,2,14,0
18269,0,0,0,0,16,0
18327,0,0,0,0,16,0
18328,0,0,0,0,16,0
18420,0,0,0,1,15,0
18477,0,0,0,0,16,0
18480,0,0,0,0,16,0
18566,0,0,0,1,15,0
18627,0,0,0,0,16,0
18632,0,0,0,0,16,0
18714,0,0,0,1,15,0
18774,0,0,0,1,15,0
18776,0,0,0,0,16,0
18784,0,0,0,1,15,0
18864,0,0,0,0,16,0
18922,0,0,0,1,15,0
18926,0,0,0,0,16,0
18936,0,0,0,3,13,0
19013,0,0,0,2,14,0
19071,0,0,0,0,16,0
19078,0,0,0,1,15,0
19166,0,0,0,0,16,0
19219,0,0,0,1,15,0
19228,0,0,0,5,11,0
19316,0,0,0,2,14,0
19319,0,0,0,2,14,0
19370,0,0,0,1,15,0
19467,0,0,0,0,16,0
19471,0,0,0,0,16,0
19518,0,0,0,1,15,0
19617,0,0,0,0,16,0
19620,0,0,0,0,16,0
19672,0,0,0,0,16,0
19766,0,0,0,0,16,0
19768,0,0,0,0,16,0
19770,0,0,0,0,16,0
19822,0,0,0,0,16,0
19915,0,0,0,1,15,0
19918,0,0,0,0,16,0
19920,0,0,0,4,12,0
19971,0,0,0,2,14,0
20063,0,0,0,1,15,0
20067,0,0,0,1,15,0
20123,0,0,0,1,15,0
20213,0,0,0,0,16,0
20217,0,0,0,1,15,0
20272,0,0,0,0,16,0
20361,0,0,0,2,14,0
20368,0,0,0,0,16,0
20422,0,0,0,3,13,0
20510,0,0,0,1,15,0
20516,0,0,0,2,14,0
20574,0,0,0,2,14,0
20660,0,0,0,4,12,0
20666,0,0,0,2,14,0
20727,0,0,0,1,15,0
20813,0,0,0,1,15,0
20815,0,0,0,1,15,0
20877,0,0,0,2,14,0
20961,0,0,0,2,14,0
20968,0,0,0,4,12,0
21028,0,0,0,3,13,0
21112,0,0,0,3,13,0
21114,0,0,0,3,13,0
21179,0,0,0,0,16,0
21260,0,0,0,4,12,0
21265,0,0,0,2,14,0
21327,0,0,0,0,16,0
21416,0,0,0,2,14,0
21475,0,0,0,3,13,0
21478,0,0,0,0,16,0
21565,0,0,0,4,12,0
21623,0,0,0,3,13,0
21625,0,0,0,3,13,0
21626,0,0,0,2,14,0
21774,0,0,0,3,13,0
21777,0,0,0,3,13,0
21779,0,0,0,4,12,0
21923,0,0,0,3,13,0
21925,0,0,0,1,15,0
21930,0,0,0,1,15,0
22073,0,0,0,1,15,0
22076,0,0,0,1,15,0
22080,0,0,0,0,16,0
22222,0,0,0,2,14,0
22228,0,0,0,2,14,0
22229,0,0,0,3,13,0
22372,0,0,0,2,14,0
22380,0,0,0,3,13,0
22381,0,0,0,3,13,0
22522,0,0,0,3,13,0
22528,0,0,0,3,13,0
22531,0,0,0,7,9,0
22671,0,0,0,12,4,0
22677,0,0,0,16,0,0
