type,starting_time,finish_time,allocated_resources,job_id
idle,1658.0,1658.0,15,-1
computing,1658.0,1806.0,10 11 12 13 14 15,37
idle,1666.0,1666.0,2 3 4 5 6,-1
computing,1666.0,1816.0,2 3 4 5 6,39
idle,1802.0,1802.0,0 1 7 8 9,-1
computing,1802.0,1952.0,8 9,65
computing,1802.0,1955.0,0 1 7,40
idle,1806.0,1806.0,10 11 12 13,-1
idle,1806.0,1836.0,14 15,-1
computing,1806.0,1958.0,10 11 12 13,42
idle,1816.0,1816.0,2 3 4 5,-1
idle,1816.0,1846.0,6,-1
computing,1816.0,1964.0,2 3 4 5,44
switching_off,1836.0,1837.0,14 15,-2
sleeping,1837.0,1952.0,14 15,-4
switching_off,1846.0,1847.0,6,-2
sleeping,1847.0,1952.0,6,-4
idle,1952.0,1953.0,8 9,-1
switching_on,1952.0,1953.0,6 14 15,-3
idle,1953.0,1953.0,6 14 15,-1
computing,1953.0,2101.0,6 8 9 14 15,45
idle,1955.0,1958.0,0 1 7,-1
idle,1958.0,1958.0,10 11,-1
idle,1958.0,1964.0,12,-1
idle,1958.0,1988.0,13,-1
computing,1958.0,2104.0,0 1 7 10 11,46
idle,1964.0,1964.0,2 3 4 5,-1
computing,1964.0,2112.0,2 3 4 5 12,47
switching_off,1988.0,1989.0,13,-2
sleeping,1989.0,2101.0,13,-4
idle,2101.0,2102.0,6 8 9,-1
switching_on,2101.0,2102.0,13,-3
idle,2101.0,2104.0,14 15,-1
idle,2102.0,2102.0,13,-1
computing,2102.0,2247.0,6 8 9 13,48
idle,2104.0,2104.0,0 1 7 10 11,-1
computing,2104.0,2253.0,0 1 7,49
computing,2104.0,2254.0,10 11 14 15,50
idle,2112.0,2112.0,2 3 4 5 12,-1
computing,2112.0,2263.0,2 3 4 5 12,51
idle,2247.0,2247.0,6 8 9 13,-1
computing,2247.0,2397.0,6 8 9 13,52
idle,2253.0,2253.0,0 1 7,-1
computing,2253.0,2402.0,0 1 7,58
idle,2254.0,2254.0,10 11 14 15,-1
computing,2254.0,2403.0,10 11 14 15,53
idle,2263.0,2263.0,2 3 4 5,-1
idle,2263.0,2293.0,12,-1
computing,2263.0,2412.0,2 3 4 5,54
switching_off,2293.0,2294.0,12,-2
sleeping,2294.0,2397.0,12,-4
idle,2397.0,2398.0,6 8 9 13,-1
switching_on,2397.0,2398.0,12,-3
idle,2398.0,2398.0,12,-1
computing,2398.0,2548.0,6 8 9 12 13,55
idle,2402.0,2403.0,0 1 7,-1
idle,2403.0,2403.0,10 11,-1
idle,2403.0,2412.0,14,-1
idle,2403.0,2433.0,15,-1
computing,2403.0,2554.0,0 1 7 10 11,56
idle,2412.0,2412.0,2 3 4 5,-1
computing,2412.0,2563.0,2 3 4 5 14,59
switching_off,2433.0,2434.0,15,-2
sleeping,2434.0,2563.0,15,-4
idle,2548.0,2548.0,6 8 9 12 13,-1
computing,2548.0,2697.0,6 8 9 12 13,60
idle,2554.0,2554.0,0 1 7 10,-1
idle,2554.0,2564.0,11,-1
computing,2554.0,2702.0,0 1 7 10,61
idle,2563.0,2563.0,2 3 4 5,-1
idle,2563.0,2564.0,14,-1
switching_on,2563.0,2564.0,15,-3
computing,2563.0,2717.0,2 3 4 5,62
idle,2564.0,2564.0,15,-1
computing,2564.0,2714.0,11 14 15,66
idle,2697.0,2697.0,6 8 9 12,-1
idle,2697.0,2714.0,13,-1
computing,2697.0,2845.0,6 8 9 12,63
idle,2702.0,2714.0,0 1 7 10,-1
idle,2714.0,2714.0,11,-1
idle,2714.0,2744.0,14 15,-1
computing,2714.0,2863.0,0 1 7 10 11 13,64
idle,2717.0,2717.0,2 3 4 5,-1
computing,2717.0,2865.0,2 3 4 5,67
switching_off,2744.0,2745.0,14 15,-2
sleeping,2745.0,2863.0,14,-4
sleeping,2745.0,2865.0,15,-4
idle,2845.0,2845.0,6 8 9 12,-1
computing,2845.0,2995.0,6 8 9 12,68
idle,2863.0,2863.0,0 1 7 10,-1
idle,2863.0,2864.0,11 13,-1
switching_on,2863.0,2864.0,14,-3
computing,2863.0,3015.0,0 1 7 10,69
idle,2864.0,2864.0,14,-1
computing,2864.0,3015.0,11 13 14,75
idle,2865.0,2866.0,2 3 4 5,-1
switching_on,2865.0,2866.0,15,-3
idle,2866.0,2866.0,15,-1
computing,2866.0,3013.0,2 3 4 5 15,70
idle,2995.0,2995.0,6 8 9 12,-1
computing,2995.0,3148.0,6 8 9 12,73
idle,3013.0,3013.0,2 3 4 5 15,-1
computing,3013.0,3161.0,2 3 4 5 15,71
idle,3015.0,3015.0,0 1 7 10 11,-1
idle,3015.0,3045.0,13 14,-1
computing,3015.0,3163.0,0 1 7 10 11,72
switching_off,3045.0,3046.0,13 14,-2
sleeping,3046.0,3148.0,13,-4
sleeping,3046.0,3161.0,14,-4
idle,3148.0,3149.0,6 8 9 12,-1
switching_on,3148.0,3149.0,13,-3
idle,3149.0,3149.0,13,-1
computing,3149.0,3301.0,6 8 9 12 13,74
idle,3161.0,3162.0,2 3 4 5,-1
switching_on,3161.0,3162.0,14,-3
idle,3161.0,3191.0,15,-1
idle,3162.0,3162.0,14,-1
computing,3162.0,3313.0,2 3 4 5 14,76
idle,3163.0,3163.0,0 1 7 10,-1
idle,3163.0,3193.0,11,-1
computing,3163.0,3316.0,0 1 7 10,77
switching_off,3191.0,3192.0,15,-2
sleeping,3192.0,3313.0,15,-4
switching_off,3193.0,3194.0,11,-2
sleeping,3194.0,3301.0,11,-4
idle,3301.0,3302.0,6 8 9 12,-1
switching_on,3301.0,3302.0,11,-3
idle,3301.0,3314.0,13,-1
idle,3302.0,3302.0,11,-1
computing,3302.0,3449.0,6 8 9 11 12,78
idle,3313.0,3314.0,2 3 4 5 14,-1
switching_on,3313.0,3314.0,15,-3
idle,3314.0,3314.0,15,-1
computing,3314.0,3466.0,2 3 4 5 13 14 15,79
idle,3316.0,3316.0,0 1 7 10,-1
computing,3316.0,3465.0,0 1 7 10,80
idle,3449.0,3449.0,6 8 9 11 12,-1
computing,3449.0,3599.0,6 8 9 11 12,81
idle,3465.0,3465.0,0 1 7 10,-1
computing,3465.0,3613.0,0 1 7 10,84
idle,3466.0,3466.0,2 3 4 5 13,-1
idle,3466.0,3496.0,14 15,-1
computing,3466.0,3620.0,2 3 4 5 13,82
switching_off,3496.0,3497.0,14 15,-2
sleeping,3497.0,3620.0,14 15,-4
idle,3599.0,3599.0,6 8 9 11 12,-1
computing,3599.0,3752.0,6 8 9 11 12,83
idle,3613.0,3613.0,0 1 7 10,-1
computing,3613.0,3768.0,0 1 7 10,85
idle,3620.0,3620.0,2 3 4 5,-1
idle,3620.0,3621.0,13,-1
switching_on,3620.0,3621.0,14 15,-3
computing,3620.0,3769.0,2 3 4 5,86
idle,3621.0,3621.0,14 15,-1
computing,3621.0,3768.0,13 14 15,91
idle,3752.0,3752.0,6 8 9 11,-1
idle,3752.0,3768.0,12,-1
computing,3752.0,3902.0,6 8 9 11,87
idle,3768.0,3768.0,0 1 7 10 13,-1
idle,3768.0,3769.0,14 15,-1
computing,3768.0,3916.0,0 1 7 10 12 13,88
idle,3769.0,3769.0,2 3 4 5,-1
computing,3769.0,3923.0,2 3 4 5 14 15,89
idle,3902.0,3902.0,6 8 9 11,-1
computing,3902.0,4053.0,6 8 9 11,90
idle,3916.0,3916.0,0 1 7 10 12 13,-1
computing,3916.0,4064.0,0 1 7 10 12 13,92
idle,3923.0,3923.0,2 3 4 5,-1
idle,3923.0,3953.0,14 15,-1
computing,3923.0,4073.0,2 3 4 5,93
switching_off,3953.0,3954.0,14 15,-2
sleeping,3954.0,4053.0,14 15,-4
idle,4053.0,4054.0,6 8 9 11,-1
switching_on,4053.0,4054.0,14 15,-3
idle,4054.0,4054.0,14 15,-1
computing,4054.0,4204.0,6 8 9 11 14 15,94
idle,4064.0,4064.0,0 1 7 10 12,-1
idle,4064.0,4073.0,13,-1
computing,4064.0,4212.0,0 1 7 10 12,95
idle,4073.0,4073.0,2 3 4 5,-1
computing,4073.0,4221.0,2 3 4 5 13,96
idle,4204.0,4204.0,6 8 9 11 14,-1
idle,4204.0,4234.0,15,-1
computing,4204.0,4356.0,6 8 9 11 14,97
idle,4212.0,4212.0,0 1 7 10,-1
idle,4212.0,4221.0,12,-1
computing,4212.0,4360.0,0 1 7 10,98
idle,4221.0,4221.0,2 3 4 5,-1
idle,4221.0,4251.0,13,-1
computing,4221.0,4370.0,2 3 4 5 12,99
switching_off,4234.0,4235.0,15,-2
sleeping,4235.0,4235.0,15,-4
switching_off,4251.0,4252.0,13,-2
sleeping,4252.0,4252.0,13,-4
idle,4356.0,4356.0,6 8 9 11,-1
idle,4356.0,4386.0,14,-1
computing,4356.0,4505.0,6 8 9 11,100
idle,4360.0,4390.0,0 1 7 10,-1
idle,4370.0,4400.0,2 3 4 5 12,-1
switching_off,4386.0,4387.0,14,-2
sleeping,4387.0,4387.0,14,-4
switching_off,4390.0,4391.0,0 1 7 10,-2
sleeping,4391.0,4391.0,0 1 7 10,-4
switching_off,4400.0,4401.0,2 3 4 5 12,-2
sleeping,4401.0,4401.0,2 3 4 5 12,-4
idle,4505.0,4535.0,6 8 9 11,-1
switching_off,4535.0,4536.0,6 8 9 11,-2
sleeping,4536.0,4536.0,6 8 9 11,-4
