time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
16627,0,1,0,6,9,0
16632,0,0,0,2,14,0
16657,0,0,2,0,14,0
16662,2,0,0,0,14,0
16770,2,0,0,0,14,0
16772,2,0,0,0,14,0
16782,0,2,0,2,12,0
16787,0,0,0,0,16,0
16922,0,0,0,0,16,0
16925,0,0,0,3,13,0
16929,0,0,0,1,15,0
16939,0,0,0,1,15,0
16969,0,0,1,0,15,0
16974,1,0,0,0,15,0
17073,0,1,0,2,13,0
17078,0,0,0,0,16,0
17080,0,0,0,0,16,0
17085,0,0,0,4,12,0
17115,0,0,4,0,12,0
17120,4,0,0,0,12,0
17222,2,2,0,4,8,0
17227,2,0,0,0,14,0
17228,2,0,0,1,13,0
17231,1,1,0,4,10,0
17236,1,0,0,1,14,0
17261,1,0,1,0,14,0
17266,2,0,0,0,14,0
17375,0,2,0,4,10,0
17379,0,2,0,7,7,0
17380,0,0,0,3,13,0
17385,0,0,0,0,16,0
17526,0,0,0,0,16,0
17529,0,0,0,2,14,0
17537,0,0,0,4,12,0
17559,0,0,2,2,12,0
17564,2,0,0,2,12,0
17567,2,0,2,0,12,0
17572,4,0,0,0,12,0
17674,2,2,0,3,9,0
17679,2,0,0,0,14,0
17681,2,0,0,0,14,0
17691,0,2,0,1,13,0
17696,0,0,0,0,16,0
17830,0,0,0,0,16,0
17835,0,0,0,1,15,0
17843,0,0,0,0,16,0
17846,0,0,0,0,16,0
17980,0,0,0,0,16,0
17985,0,0,0,0,16,0
17995,0,0,0,1,15,0
17997,0,0,0,0,16,0
18130,0,0,0,0,16,0
18134,0,0,0,3,13,0
18143,0,0,0,2,14,0
18150,0,0,0,1,15,0
18180,0,0,1,0,15,0
18185,1,0,0,0,15,0
18281,1,0,0,0,15,0
18292,1,0,0,1,14,0
18302,1,0,0,0,15,0
18431,1,0,0,1,14,0
18439,1,0,0,0,15,0
18454,0,1,0,2,13,0
18459,0,0,0,0,16,0
18581,0,0,0,0,16,0
18590,0,0,0,2,14,0
18604,0,0,0,0,16,0
18610,0,0,0,3,13,0
18640,0,0,3,0,13,0
18645,3,0,0,0,13,0
18733,2,1,0,4,9,0
18738,2,0,0,0,14,0
18744,1,1,0,3,11,0
18749,1,0,0,0,15,0
18750,0,1,0,2,13,0
18755,0,0,0,0,16,0
18886,0,0,0,0,16,0
18899,0,0,0,0,16,0
18902,0,0,0,4,12,0
18904,0,0,0,0,16,0
19039,0,0,0,1,15,0
19051,0,0,0,1,15,0
19053,0,0,0,3,13,0
19083,0,0,3,0,13,0
19088,3,0,0,0,13,0
19190,2,1,0,4,9,0
19195,2,0,0,0,14,0
19201,2,0,0,0,14,0
19202,2,0,0,0,14,0
19344,2,0,0,0,14,0
19350,0,2,0,1,13,0
19355,0,0,0,0,16,0
19495,0,0,0,1,15,0
19501,0,0,0,0,16,0
19502,0,0,0,4,12,0
19505,0,0,0,1,15,0
19535,0,0,1,0,15,0
19540,1,0,0,0,15,0
19647,0,1,0,4,11,0
19650,0,1,0,5,10,0
19652,0,0,0,1,15,0
19653,0,0,0,2,14,0
19680,0,0,1,1,14,0
19683,0,0,2,0,14,0
19685,1,0,1,0,14,0
19688,2,0,0,0,14,0
19799,1,1,0,5,9,0
19802,0,2,0,10,4,0
19804,0,1,0,5,10,0
19807,0,0,0,1,15,0
19832,0,0,1,0,15,0
19837,1,0,0,0,15,0
19951,1,0,0,0,15,0
19952,0,1,0,6,9,0
19957,0,0,0,0,16,0
19961,0,0,0,2,14,0
19991,0,0,2,0,14,0
19996,2,0,0,0,14,0
20101,0,2,0,4,10,0
20103,0,2,0,7,7,0
20106,0,0,0,3,13,0
20108,0,0,0,1,15,0
20133,0,0,1,0,15,0
20138,1,0,0,0,15,0
20253,0,1,0,4,11,0
20255,0,1,0,5,10,0
20257,0,1,0,5,10,0
20258,0,0,0,1,15,0
20287,0,0,1,0,15,0
20292,1,0,0,0,15,0
20403,1,0,0,0,15,0
20408,1,0,0,1,14,0
20411,1,0,0,2,13,0
20438,1,0,1,1,13,0
20441,1,0,2,0,13,0
20443,2,0,1,0,13,0
20446,3,0,0,0,13,0
20552,1,2,0,4,9,0
20557,1,0,0,1,14,0
20562,1,0,0,1,14,0
20587,1,0,1,0,14,0
20592,2,0,0,0,14,0
20706,0,2,0,4,10,0
20711,0,0,0,0,16,0
20714,0,0,0,0,16,0
20856,0,0,0,0,16,0
20860,0,0,0,0,16,0
20863,0,0,0,0,16,0
21005,0,0,0,1,15,0
21012,0,0,0,2,14,0
21014,0,0,0,0,16,0
21156,0,0,0,0,16,0
21160,0,0,0,1,15,0
21163,0,0,0,1,15,0
21193,0,0,1,0,15,0
21198,1,0,0,0,15,0
21310,0,1,0,2,13,0
21315,0,0,0,0,16,0
21457,0,0,0,4,12,0
21458,0,0,0,2,14,0
21459,0,0,0,1,15,0
21462,0,0,0,1,15,0
21492,0,0,1,0,15,0
21497,1,0,0,0,15,0
21605,1,0,0,2,13,0
21609,1,0,0,0,15,0
21612,0,1,0,3,12,0
21617,0,0,0,0,16,0
21757,0,0,0,0,16,0
21761,0,0,0,2,14,0
21768,0,0,0,1,15,0
21798,0,0,1,0,15,0
21803,1,0,0,0,15,0
21908,1,0,0,0,15,0
21909,1,0,0,0,15,0
21914,0,1,0,5,10,0
21919,0,0,0,0,16,0
22056,0,0,0,1,15,0
22060,0,0,0,1,15,0
22068,0,0,0,1,15,0
22098,0,0,1,0,15,0
22103,1,0,0,0,15,0
22204,1,0,0,0,15,0
22210,0,1,0,5,10,0
22215,0,0,0,0,16,0
22219,0,0,0,2,14,0
22249,0,0,2,0,14,0
22254,2,0,0,0,14,0
22353,1,1,0,4,10,0
22358,1,0,0,0,15,0
22366,1,0,0,2,13,0
22369,1,0,0,1,14,0
22396,1,0,1,0,14,0
22401,2,0,0,0,14,0
22507,2,0,0,0,14,0
22514,2,0,0,0,14,0
22516,2,0,0,0,14,0
22654,2,0,0,0,14,0
22664,1,1,0,4,10,0
22668,0,2,0,9,5,0
22669,0,1,0,5,10,0
22673,0,0,0,0,16,0
22803,0,0,0,0,16,0
22816,0,0,0,0,16,0
22822,0,0,0,2,14,0
22852,0,0,2,0,14,0
22857,2,0,0,0,14,0
22954,0,2,0,1,13,0
22959,0,0,0,0,16,0
22969,0,0,0,0,16,0
22971,0,0,0,0,16,0
23102,0,0,0,0,16,0
23105,0,0,0,0,16,0
23120,0,0,0,0,16,0
23122,0,0,0,0,16,0
23250,0,0,0,4,12,0
23254,0,0,0,2,14,0
23272,0,0,0,0,16,0
23276,0,0,0,1,15,0
23306,0,0,1,0,15,0
23311,1,0,0,0,15,0
23403,1,0,0,1,14,0
23422,1,0,0,2,13,0
23423,0,1,0,6,9,0
23428,0,0,0,1,15,0
23452,0,0,1,0,15,0
23457,1,0,0,0,15,0
23553,1,0,0,0,15,0
23566,0,1,0,5,10,0
23571,0,0,0,0,16,0
23578,0,0,0,1,15,0
23608,0,0,1,0,15,0
23613,1,0,0,0,15,0
23698,0,1,0,4,11,0
23703,0,0,0,0,16,0
23719,0,0,0,2,14,0
23728,0,0,0,0,16,0
23850,0,0,0,0,16,0
23868,0,0,0,0,16,0
23879,0,0,0,3,13,0
23909,0,0,3,0,13,0
23914,3,0,0,0,13,0
24002,1,2,0,5,8,0
24007,1,0,0,0,15,0
24020,1,0,0,0,15,0
24031,0,1,0,4,11,0
24036,0,0,0,0,16,0
24157,0,0,0,0,16,0
24174,0,0,0,0,16,0
24184,0,0,0,1,15,0
24214,0,0,1,0,15,0
24219,1,0,0,0,15,0
24311,1,0,0,0,15,0
24313,0,1,0,4,11,0
24318,0,0,0,0,16,0
24322,0,0,0,1,15,0
24333,0,0,0,0,16,0
24461,0,0,0,0,16,0
24469,0,0,0,0,16,0
24475,0,0,0,0,16,0
24483,0,0,0,0,16,0
24611,0,0,0,0,16,0
24622,0,0,0,1,15,0
24626,0,0,0,0,16,0
24632,0,0,0,0,16,0
24760,0,0,0,0,16,0
24772,0,0,0,0,16,0
24774,0,0,0,0,16,0
24781,0,0,0,0,16,0
24908,0,0,0,3,13,0
24923,0,0,0,2,14,0
24925,0,0,0,1,15,0
24932,0,0,0,2,14,0
24955,0,0,1,1,14,0
24960,1,0,0,1,14,0
24962,1,0,1,0,14,0
24967,2,0,0,0,14,0
25076,1,1,0,5,9,0
25081,1,0,0,1,14,0
25082,1,0,0,1,14,0
25106,1,0,1,0,14,0
25111,2,0,0,0,14,0
25227,2,0,0,0,14,0
25231,2,0,0,1,13,0
25236,1,1,0,5,9,0
25241,1,0,0,0,15,0
25375,1,0,0,0,15,0
25380,1,0,0,0,15,0
25395,1,0,0,1,14,0
25425,1,0,1,0,14,0
25430,2,0,0,0,14,0
25527,2,0,0,0,14,0
25534,2,0,0,0,14,0
25542,2,0,0,0,14,0
25678,2,0,0,1,13,0
25684,2,0,0,0,14,0
25693,0,2,0,1,13,0
25698,0,0,0,0,16,0
25827,0,0,0,0,16,0
25832,0,0,0,1,15,0
25846,0,0,0,1,15,0
25847,0,0,0,0,16,0
25977,0,0,0,0,16,0
25980,0,0,0,1,15,0
25996,0,0,0,0,16,0
26000,0,0,0,1,15,0
26030,0,0,1,0,15,0
26035,1,0,0,0,15,0
26127,0,1,0,4,11,0
26130,0,1,0,4,11,0
26132,0,0,0,0,16,0
26144,0,0,0,0,16,0
26149,0,0,0,3,13,0
26179,0,0,3,0,13,0
26184,3,0,0,0,13,0
26282,1,2,0,5,8,0
26283,0,3,0,8,5,0
26287,0,1,0,4,11,0
26288,0,0,0,1,15,0
26298,0,0,0,1,15,0
26312,0,0,1,0,15,0
26317,1,0,0,0,15,0
26436,1,0,0,2,13,0
26439,1,0,0,1,14,0
