time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
222,0,[],0,[],0,[],0,[],8,"[{'job_id': 18, 'nodes': [0, 6], 'starting_time': 206, 'finish_time': 256}, {'job_id': 19, 'nodes': [3, 4, 5], 'starting_time': 213, 'finish_time': 263}, {'job_id': 20, 'nodes': [1, 2, 7], 'starting_time': 222, 'finish_time': 271}]",0
256,0,[],0,[],0,[],1,[6],7,"[{'job_id': 19, 'nodes': [3, 4, 5], 'starting_time': 213, 'finish_time': 263}, {'job_id': 20, 'nodes': [1, 2, 7], 'starting_time': 222, 'finish_time': 271}, {'job_id': 21, 'nodes': [0], 'starting_time': 256, 'finish_time': 306}]",0
263,0,[],0,[],0,[],0,[],8,"[{'job_id': 20, 'nodes': [1, 2, 7], 'starting_time': 222, 'finish_time': 271}, {'job_id': 21, 'nodes': [0], 'starting_time': 256, 'finish_time': 306}, {'job_id': 22, 'nodes': [3, 4], 'starting_time': 263, 'finish_time': 314}, {'job_id': 23, 'nodes': [5, 6], 'starting_time': 263, 'finish_time': 315}]",0
271,0,[],0,[],0,[],1,[7],7,"[{'job_id': 21, 'nodes': [0], 'starting_time': 256, 'finish_time': 306}, {'job_id': 22, 'nodes': [3, 4], 'starting_time': 263, 'finish_time': 314}, {'job_id': 23, 'nodes': [5, 6], 'starting_time': 263, 'finish_time': 315}, {'job_id': 24, 'nodes': [1], 'starting_time': 271, 'finish_time': 323}, {'job_id': 25, 'nodes': [2], 'starting_time': 271, 'finish_time': 318}]",0
301,0,[],0,[],1,[7],0,[],7,"[{'job_id': 21, 'nodes': [0], 'starting_time': 256, 'finish_time': 306}, {'job_id': 22, 'nodes': [3, 4], 'starting_time': 263, 'finish_time': 314}, {'job_id': 23, 'nodes': [5, 6], 'starting_time': 263, 'finish_time': 315}, {'job_id': 24, 'nodes': [1], 'starting_time': 271, 'finish_time': 323}, {'job_id': 25, 'nodes': [2], 'starting_time': 271, 'finish_time': 318}]",0
306,1,[7],0,[],0,[],1,[0],6,"[{'job_id': 22, 'nodes': [3, 4], 'starting_time': 263, 'finish_time': 314}, {'job_id': 23, 'nodes': [5, 6], 'starting_time': 263, 'finish_time': 315}, {'job_id': 24, 'nodes': [1], 'starting_time': 271, 'finish_time': 323}, {'job_id': 25, 'nodes': [2], 'starting_time': 271, 'finish_time': 318}]",0
314,1,[7],0,[],0,[],0,[],7,"[{'job_id': 23, 'nodes': [5, 6], 'starting_time': 263, 'finish_time': 315}, {'job_id': 24, 'nodes': [1], 'starting_time': 271, 'finish_time': 323}, {'job_id': 25, 'nodes': [2], 'starting_time': 271, 'finish_time': 318}, {'job_id': 26, 'nodes': [0, 3, 4], 'starting_time': 314, 'finish_time': 364}]",0
315,1,[7],0,[],0,[],0,[],7,"[{'job_id': 24, 'nodes': [1], 'starting_time': 271, 'finish_time': 323}, {'job_id': 25, 'nodes': [2], 'starting_time': 271, 'finish_time': 318}, {'job_id': 26, 'nodes': [0, 3, 4], 'starting_time': 314, 'finish_time': 364}, {'job_id': 27, 'nodes': [5, 6], 'starting_time': 315, 'finish_time': 366}]",0
318,1,[7],0,[],0,[],1,[2],6,"[{'job_id': 24, 'nodes': [1], 'starting_time': 271, 'finish_time': 323}, {'job_id': 26, 'nodes': [0, 3, 4], 'starting_time': 314, 'finish_time': 364}, {'job_id': 27, 'nodes': [5, 6], 'starting_time': 315, 'finish_time': 366}]",0
323,0,[],1,[7],0,[],2,"[1, 2]",5,"[{'job_id': 26, 'nodes': [0, 3, 4], 'starting_time': 314, 'finish_time': 364}, {'job_id': 27, 'nodes': [5, 6], 'starting_time': 315, 'finish_time': 366}, {'job_id': 28, 'nodes': [1, 2, 7], 'starting_time': 328, 'finish_time': 379}]",0
328,0,[],0,[],0,[],0,[],8,"[{'job_id': 26, 'nodes': [0, 3, 4], 'starting_time': 314, 'finish_time': 364}, {'job_id': 27, 'nodes': [5, 6], 'starting_time': 315, 'finish_time': 366}, {'job_id': 28, 'nodes': [1, 2, 7], 'starting_time': 328, 'finish_time': 379}]",0
364,0,[],0,[],0,[],0,[],8,"[{'job_id': 27, 'nodes': [5, 6], 'starting_time': 315, 'finish_time': 366}, {'job_id': 28, 'nodes': [1, 2, 7], 'starting_time': 328, 'finish_time': 379}, {'job_id': 29, 'nodes': [0], 'starting_time': 364, 'finish_time': 415}, {'job_id': 30, 'nodes': [3, 4], 'starting_time': 364, 'finish_time': 415}]",0
366,0,[],0,[],0,[],0,[],8,"[{'job_id': 28, 'nodes': [1, 2, 7], 'starting_time': 328, 'finish_time': 379}, {'job_id': 29, 'nodes': [0], 'starting_time': 364, 'finish_time': 415}, {'job_id': 30, 'nodes': [3, 4], 'starting_time': 364, 'finish_time': 415}, {'job_id': 31, 'nodes': [5, 6], 'starting_time': 366, 'finish_time': 413}]",0
379,0,[],0,[],0,[],1,[7],7,"[{'job_id': 29, 'nodes': [0], 'starting_time': 364, 'finish_time': 415}, {'job_id': 30, 'nodes': [3, 4], 'starting_time': 364, 'finish_time': 415}, {'job_id': 31, 'nodes': [5, 6], 'starting_time': 366, 'finish_time': 413}, {'job_id': 32, 'nodes': [1], 'starting_time': 379, 'finish_time': 429}, {'job_id': 33, 'nodes': [2], 'starting_time': 379, 'finish_time': 431}]",0
409,0,[],0,[],1,[7],0,[],7,"[{'job_id': 29, 'nodes': [0], 'starting_time': 364, 'finish_time': 415}, {'job_id': 30, 'nodes': [3, 4], 'starting_time': 364, 'finish_time': 415}, {'job_id': 31, 'nodes': [5, 6], 'starting_time': 366, 'finish_time': 413}, {'job_id': 32, 'nodes': [1], 'starting_time': 379, 'finish_time': 429}, {'job_id': 33, 'nodes': [2], 'starting_time': 379, 'finish_time': 431}]",0
413,0,[],0,[],1,[7],2,"[5, 6]",5,"[{'job_id': 29, 'nodes': [0], 'starting_time': 364, 'finish_time': 415}, {'job_id': 30, 'nodes': [3, 4], 'starting_time': 364, 'finish_time': 415}, {'job_id': 32, 'nodes': [1], 'starting_time': 379, 'finish_time': 429}, {'job_id': 33, 'nodes': [2], 'starting_time': 379, 'finish_time': 431}]",0
414,0,[],1,[7],0,[],2,"[5, 6]",5,"[{'job_id': 29, 'nodes': [0], 'starting_time': 364, 'finish_time': 415}, {'job_id': 30, 'nodes': [3, 4], 'starting_time': 364, 'finish_time': 415}, {'job_id': 32, 'nodes': [1], 'starting_time': 379, 'finish_time': 429}, {'job_id': 33, 'nodes': [2], 'starting_time': 379, 'finish_time': 431}]",0
415,0,[],1,[7],0,[],2,"[5, 6]",5,"[{'job_id': 32, 'nodes': [1], 'starting_time': 379, 'finish_time': 429}, {'job_id': 33, 'nodes': [2], 'starting_time': 379, 'finish_time': 431}, {'job_id': 35, 'nodes': [0, 3], 'starting_time': 415, 'finish_time': 467}, {'job_id': 36, 'nodes': [4], 'starting_time': 415, 'finish_time': 465}, {'job_id': 34, 'nodes': [5, 6, 7], 'starting_time': 419, 'finish_time': 468}]",0
419,0,[],0,[],0,[],0,[],8,"[{'job_id': 32, 'nodes': [1], 'starting_time': 379, 'finish_time': 429}, {'job_id': 33, 'nodes': [2], 'starting_time': 379, 'finish_time': 431}, {'job_id': 35, 'nodes': [0, 3], 'starting_time': 415, 'finish_time': 467}, {'job_id': 36, 'nodes': [4], 'starting_time': 415, 'finish_time': 465}, {'job_id': 34, 'nodes': [5, 6, 7], 'starting_time': 419, 'finish_time': 468}]",0
429,0,[],0,[],0,[],1,[1],7,"[{'job_id': 33, 'nodes': [2], 'starting_time': 379, 'finish_time': 431}, {'job_id': 35, 'nodes': [0, 3], 'starting_time': 415, 'finish_time': 467}, {'job_id': 36, 'nodes': [4], 'starting_time': 415, 'finish_time': 465}, {'job_id': 34, 'nodes': [5, 6, 7], 'starting_time': 419, 'finish_time': 468}]",0
431,0,[],0,[],0,[],0,[],8,"[{'job_id': 35, 'nodes': [0, 3], 'starting_time': 415, 'finish_time': 467}, {'job_id': 36, 'nodes': [4], 'starting_time': 415, 'finish_time': 465}, {'job_id': 34, 'nodes': [5, 6, 7], 'starting_time': 419, 'finish_time': 468}, {'job_id': 37, 'nodes': [1, 2], 'starting_time': 431, 'finish_time': 479}]",0
465,0,[],0,[],0,[],1,[4],7,"[{'job_id': 35, 'nodes': [0, 3], 'starting_time': 415, 'finish_time': 467}, {'job_id': 34, 'nodes': [5, 6, 7], 'starting_time': 419, 'finish_time': 468}, {'job_id': 37, 'nodes': [1, 2], 'starting_time': 431, 'finish_time': 479}]",0
467,0,[],0,[],0,[],0,[],8,"[{'job_id': 34, 'nodes': [5, 6, 7], 'starting_time': 419, 'finish_time': 468}, {'job_id': 37, 'nodes': [1, 2], 'starting_time': 431, 'finish_time': 479}, {'job_id': 38, 'nodes': [0, 3], 'starting_time': 467, 'finish_time': 518}, {'job_id': 39, 'nodes': [4], 'starting_time': 467, 'finish_time': 514}]",0
